mat_path,mat_ts,camera_path,camera_ts
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:12.206000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:12.203874
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:12.303000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:12.306603
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:12.497000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:12.493013
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:12.594000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:12.604666
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:12.756000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:12.745536
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:12.919000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:12.914776
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:13.048000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:13.033812
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:13.177000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:13.181612
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:13.307000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:13.312684
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:13.469000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:13.454350
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:13.598000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:13.594605
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:13.728000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:13.743669
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:13.889000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:14.296981
../2025-07-03/pm_adl/s/4dasssh.csv,2024-06-11T09:59:49.236000+01:00,../2025-07-03/ir_adl/s/4dasssh,2024-06-11T09:59:49.098273
../2025-07-03/pm_adl/s/4dasssh.csv,2024-06-11T09:59:49.268000+01:00,../2025-07-03/ir_adl/s/4dasssh,2024-06-11T09:59:49.258461
../2025-07-03/pm_adl/s/4dasssh.csv,2024-06-11T09:59:49.430000+01:00,../2025-07-03/ir_adl/s/4dasssh,2024-06-11T09:59:49.428238
../2025-07-03/pm_adl/s/4dasssh.csv,2024-06-11T09:59:49.559000+01:00,../2025-07-03/ir_adl/s/4dasssh,2024-06-11T09:59:49.565422
../2025-07-03/pm_adl/s/4dasssh.csv,2024-06-11T09:59:49.689000+01:00,../2025-07-03/ir_adl/s/4dasssh,2024-06-11T09:59:49.689373
../2025-07-03/pm_adl/s/4dasssh.csv,2024-06-11T09:59:49.819000+01:00,../2025-07-03/ir_adl/s/4dasssh,2024-06-11T09:59:49.817598
