mat_file,mat_start,mat_end,mat_index,camera_index,camera_start,camera_end,camera_file
"../2025-07-03/pm_fall/sp/31dpsp","2024-06-12T14:28:11","2024-06-12T14:28:17",31dpsp,31dpsp,"2024-06-12T13:28:10","2024-06-12T14:28:19","../2025-07-03/ir_fall/sp/31dpsp"
"../2025-07-03/pm_fall/trr/32dptrr","2024-06-12T14:29:15","2024-06-12T14:29:20",32dptrr,32dptrr,"2024-06-12T13:29:14","2024-06-12T14:29:23","../2025-07-03/ir_fall/trr/32dptrr"
"../2025-07-03/pm_fall/trl/33dptrl","2024-06-12T14:30:09","2024-06-12T14:30:15",33dptrl,33dptrl,"2024-06-12T13:30:08","2024-06-12T14:30:17","../2025-07-03/ir_fall/trl/33dptrl"
"../2025-07-03/pm_fall/fu/34dpfu","2024-06-12T14:31:44","2024-06-12T14:31:50",34dpfu,34dpfu,"2024-06-12T13:31:44","2024-06-12T14:31:52","../2025-07-03/ir_fall/fu/34dpfu"
"../2025-07-03/pm_fall/fu/35dpfu","2024-06-12T14:34:18","2024-06-12T14:34:29",35dpfu,35dpfu,"2024-06-12T13:34:22","2024-06-12T14:34:28","../2025-07-03/ir_fall/fu/35dpfu"
"../2025-07-03/pm_fall/kh/36dpkh","2024-06-12T14:35:45","2024-06-12T14:35:51",36dpkh,36dpkh,"2024-06-12T13:35:44","2024-06-12T14:35:54","../2025-07-03/ir_fall/kh/36dpkh"
"../2025-07-03/pm_fall/ff/1epff","2024-07-09T10:16:17","2024-07-09T10:23:18",1epff,1epff,"2024-07-09T09:23:10","2024-07-09T10:23:15","../2025-07-03/ir_fall/ff/1epff"
"../2025-07-03/pm_fall/ff/2epff","2024-07-09T10:28:55","2024-07-09T10:29:11",2epff,12epfb,"2024-07-09T09:29:02","2024-07-09T10:29:07","../2025-07-03/ir_fall/fb/12epfb"
"../2025-07-03/pm_fall/ff/3epff","2024-07-09T10:35:42","2024-07-09T10:36:01",3epff,23epfsr,"2024-07-09T09:30:48","2024-07-09T10:35:58","../2025-07-03/ir_fall/fsr/23epfsr"
"../2025-07-03/pm_fall/ff/4epff","2024-07-09T10:36:41","2024-07-09T10:36:47",4epff,31epsp,"2024-07-09T09:31:52","2024-07-09T10:36:51","../2025-07-03/ir_fall/sp/31epsp"
"../2025-07-03/pm_fall/ff/5epff","2024-07-09T10:37:37","2024-07-09T10:37:43",5epff,32eptrr,"2024-07-09T09:37:36","2024-07-09T10:37:47","../2025-07-03/ir_fall/trr/32eptrr"
"../2025-07-03/pm_fall/ff/6epff","2024-07-09T10:38:29","2024-07-09T10:38:35",6epff,33eptrl,"2024-07-09T09:38:28","2024-07-09T10:38:37","../2025-07-03/ir_fall/trl/33eptrl"
"../2025-07-03/pm_fall/fb/7epfb","2024-07-09T10:39:32","2024-07-09T10:39:37",7epfb,34epfu,"2024-07-09T09:39:32","2024-07-09T10:39:41","../2025-07-03/ir_fall/fu/34epfu"
"../2025-07-03/pm_fall/fb/8epfb","2024-07-09T10:40:24","2024-07-09T10:40:36",8epfb,35epfu,"2024-07-09T09:40:30","2024-07-09T10:40:34","../2025-07-03/ir_fall/fu/35epfu"
"../2025-07-03/pm_fall/fb/9epfb","2024-07-09T10:42:01","2024-07-09T10:42:07",9epfb,36epkh,"2024-07-09T09:42:00","2024-07-09T10:42:10","../2025-07-03/ir_fall/kh/36epkh"
"../2025-07-03/pm_fall/fb/10epfb","2024-07-09T10:43:45","2024-07-09T10:43:52",10epfb,2epff,"2024-07-09T09:43:44","2024-07-09T10:43:54","../2025-07-03/ir_fall/ff/2epff"
